Bill_No,Customer_ID,Gender,Customer_Location,Purchase_ID,Date_Purchase,Week_Purchase,Time,Time_Bucket,Categories,Purchase_Item,"Purchase_Qty (kg,ltre)",Payment_Mode,Price,Gross Sale,%,Total Sales
1,VKPM_VVMID00234,Male,Visakhapatnam,PRE_PRCS0098456,01-01-2026,Thursday,10:12,Morning,Grocery & Staples,Rice (Raw),1,Cash,699.00,699.00,0.25,698.75
2,AN-VVMID007609,Male,Auto Nagar,PRE_PRCS0098856,28-01-2026,Wednesday,10:15,Morning,Dairy & Frozen,Full Cream Milk,1,Cash,85.00,85.00,0.25,84.75
3,GJA_VVMID18105,Male,Gajuwaka,PRE_PRCS0099256,04-01-2026,Sunday,10:18,Morning,Fruits & Vegitables,Mango,1,Credit Card,45.80,45.80,0.25,45.55
4,GJA_VVMID18115,Male,Gajuwaka,PRE_PRCS0099656,30-12-2025,Tuesday,10:21,Morning,Personal Care,Shampoo,1,UPI,119.60,119.60,0.25,119.35
5,VKPM_VVMID00237,Female,Visakhapatnam,PRE_PRCS0100056,01-01-2026,Thursday,10:24,Morning,Home & Kitchen,"Cookware (Pressure Cookers, Kadhai, Tawa, Pans)",2,Cash,105.98,211.96,5.75,206.21
6,VKPM_VVMID00240,Male,Visakhapatnam,PRE_PRCS0100456,20-12-2025,Saturday,10:27,Morning,Apparel,"Innerwear (Vests, Briefs, Bras, Panties)",1,Cash,1177.50,1177.50,0.25,1177.25
7,SKLM_VVMID800800,Male,Srikakulam,PRE_PRCS0100856,18-01-2026,Sunday,10:30,Morning,General Merchandise,"Mosquito Repellents (Coils, Liquid, Mats)",1,Net Banking,628.50,628.50,0.25,628.25
8,VKPM_VVMID00243,Female,Visakhapatnam,PRE_PRCS0101256,30-12-2025,Tuesday,10:33,Morning,Toys & Games,Squishmallows (all sizes),2,UPI,320.00,640.00,5.75,634.25
9,NAD_VVMID30345,Male,NAD Junction,PRE_PRCS0101656,31-12-2025,Wednesday,10:36,Morning,Toys & Games,Furby (Purple & Coral),2,Cash,229.00,458.00,5.75,452.25
10,DN_VVMID014599,Male,Dwaraka Nagar,PRE_PRCS0102056,01-01-2026,Thursday,10:39,Morning,Toys & Games,Barbie dolls & Barbie Dreamhouse,2,Credit Card,1200.00,2400.00,5.75,2394.25
11,GJA_VVMID18125,Male,Gajuwaka,PRE_PRCS0102456,19-01-2026,Monday,10:42,Morning,General Merchandise,"Insect Sprays (Hit, Mortein, Baygon)",1,UPI,1609.50,1609.50,0.25,1609.25
12,MPM_VVMID27839,Male,Maddilapalem,PRE_PRCS0102856,30-12-2025,Tuesday,10:45,Morning,Toys & Games,Hot Wheels cars & tracks,2,Debit Card,362.59,725.18,5.75,719.43
